Monthly Budget,Food,Electronics,Online Shopping,Monthly Bill,Groceries,Transport,Housing,Miscellaneous,Saving Goal
79065,5400,9776,7587,11532,8671,4478,12195,2111,17311
87798,10453,5933,3533,4121,7690,5588,11273,3203,36000
14268,1314,540,436,1118,1349,806,2035,274,6392
91807,15149,8598,9000,12332,9596,4249,20766,2350,9763
17185,3368,647,1468,2293,1286,1684,3423,602,2410
68704,9787,6176,5710,9303,6757,2987,16578,1282,10120
91779,10737,6001,3221,9660,5485,2636,17509,3390,33136
44099,5677,3308,1995,4723,3122,2297,7108,1693,14171
13571,863,1328,1038,1155,1695,866,2017,148,4458
43044,2835,2523,1084,3446,3742,2004,5787,1245,20374
56214,7506,2506,2994,4439,4828,2642,7735,1122,22438
66228,13149,3687,3406,5083,7400,4586,18440,3349,7124
53984,7965,5127,2877,6720,4018,4228,9703,2201,11141
45774,5446,2264,3719,6679,5312,3777,6110,1207,11257
7568,1312,358,477,718,870,579,1355,168,1726
67592,3765,2780,4483,8141,7455,2386,11884,2956,23737
72563,3738,3641,2669,6159,6895,3804,10621,2280,32751
7695,888,333,729,778,726,607,1764,422,1444
53190,5392,5229,2565,4105,3590,4090,10843,1503,15868
10258,753,961,320,1215,791,312,1469,278,4156
92538,9851,11277,5187,11899,9526,6989,13113,2733,21959
44504,4630,1951,4341,5479,3702,5167,11545,2093,5592
38159,4172,4047,2842,4139,4835,2029,4516,1512,10063
18986,2854,2201,1058,2048,2749,1360,4353,938,1421
66858,5503,4533,2592,4233,5650,3495,8333,820,31695
17666,1419,1759,1570,2297,2675,1223,4630,611,1478
43660,4752,3733,3160,4346,5988,2884,6628,1368,10797
8561,1245,355,601,1030,1227,269,1055,306,2469
31854,2328,2047,1486,2669,2297,1152,3439,715,15716
69505,9837,3251,5934,13736,6896,4169,12370,4640,8667
57251,9681,4213,2176,8905,5326,2723,14493,3921,5810
27662,5711,3862,1052,4650,2086,2349,5823,635,1491
13392,1119,1066,1392,2152,1522,507,3300,724,1607
35535,4775,1869,1730,3869,5937,3768,6928,1564,5091
83603,7205,7764,3594,9534,6896,4043,14537,2122,27903
57256,8099,7431,5391,4159,5826,4317,12415,1092,8523
94135,11087,6634,5907,12706,9892,6404,33791,2135,5576
40222,2723,3616,2704,3943,2168,1372,4743,1976,16972
82373,9303,6430,7808,10604,9469,4405,12452,4228,17670
84575,14501,5339,7402,9032,5726,3646,18437,2798,17690
89651,14591,5285,4620,12960,6829,8066,15825,4784,16685
68335,7367,1797,2585,4097,5051,4082,9077,865,33410
15965,2439,835,1299,2290,1624,1252,3567,635,2020
29538,1954,904,1143,2580,1993,1922,4488,1134,13416
75592,8565,5943,3301,7639,6386,3602,8179,1769,30203
13110,2258,1538,1245,1624,1679,1059,2185,414,1106
84309,5974,6544,2760,6804,4068,2737,10321,3445,41651
32266,4939,2957,2699,3144,3670,2261,6212,827,5553
57992,11906,3184,5327,9204,7017,2909,11600,1369,5472
87948,10789,7660,2193,5113,4323,4053,13773,2823,37218
11910,768,1155,396,1000,1513,434,1847,411,4382
95982,14435,5020,3393,5415,9120,4935,18254,3948,31457
5206,1127,257,287,732,662,306,897,309,625
92054,8285,7518,5945,11807,11057,2673,16978,3363,24424
92897,5236,7368,2724,4945,11127,4643,17883,1692,37274
28419,2481,3433,1582,3701,2475,1268,6480,1692,5303
55636,10170,1972,4807,7366,7545,2251,9578,1357,10585
55015,10012,3355,4975,6214,10579,4164,11588,1295,2828
59268,8850,7218,3954,7281,5587,4451,11347,2279,7610
92939,6233,5648,5761,5149,8176,5404,12987,2319,41258
23141,2631,956,1293,2513,1902,1850,3973,635,5757
85356,7529,3542,4543,3768,6118,4380,11890,1510,42072
76910,8283,6199,5521,7007,9026,2913,17665,2752,17540
61044,9013,4941,3814,4777,4768,2636,6985,1409,22698
72214,10647,4380,5688,9943,10438,4746,12377,1220,12772
38827,5594,2653,2179,4765,4763,1413,8387,774,8297
60820,6122,6646,5076,8477,9225,2425,11359,3225,8260
67623,4804,8007,5541,7674,6106,4816,12735,3995,13942
86734,10796,4619,4701,8135,5641,6304,19098,1741,25695
80450,5924,3198,3274,5878,8063,2670,8804,2708,39927
98426,6856,9325,6782,7211,6516,3550,19330,4514,34339
27299,4929,1855,1738,3177,2885,2113,6043,744,3812
48585,6427,5370,4653,8194,7578,2100,7907,2940,3412
69044,7420,7798,6195,7845,7280,7825,12219,5080,7378
47557,3755,2495,2939,4538,3945,3880,10403,1181,14416
54080,4192,3974,1425,5323,4452,3680,9048,658,21324
7693,960,475,249,725,450,227,664,298,3640
74163,10464,9460,6827,9401,11527,3520,15561,3163,4236
30939,3665,1436,2404,3141,2243,3177,4634,466,8825
53925,6382,5485,3111,6407,3628,2323,10868,1596,14122
47941,4383,3037,3356,3092,6207,2236,8269,807,16550
26834,2202,2241,1778,2935,2491,1171,4497,1417,8098
23047,1418,1968,1451,2466,2104,801,4211,348,8277
31105,2760,1927,1350,4047,2290,2096,5112,753,10766
80766,7149,9799,6735,6012,11651,8306,17909,4910,8291
20707,925,1746,491,1386,2229,1147,3540,753,8487
26976,5150,2049,1934,2735,3737,2317,4388,1817,2844
49262,3247,2819,1954,4713,4943,2004,10108,1521,17948
28776,4384,3192,1513,3349,2005,1798,4005,1699,6827
35080,5197,1480,1711,5006,3214,1475,5899,1227,9865
71842,7136,1865,1926,6082,7876,2101,9197,2862,32794
66373,4359,5016,2602,4919,6061,1669,10529,1317,29897
11776,682,916,790,858,943,583,1572,504,4922
97787,14354,11367,4635,7088,13667,3124,11873,4340,27337
60016,7522,2004,4221,4968,4147,5030,8343,893,22884
14474,1989,631,901,1179,1710,1287,2463,246,4064
63053,3260,2108,2645,7057,4401,2081,10747,2924,27826
26959,4333,2314,894,2760,2987,1406,4741,1286,6234
10530,543,676,343,692,542,608,1776,222,5123
99856,6590,3949,4873,6591,9183,5531,13903,2346,46886
8748,802,260,346,590,968,618,1413,391,3356
18545,1532,2230,984,1953,1989,1153,4803,432,3259
71199,10647,7235,4438,12226,10442,3124,13648,1657,7778
39766,3941,1052,1705,3802,3364,1240,6161,1214,17282
78530,15819,11137,7193,6694,7854,5601,12873,1588,9768
98557,12958,3749,4167,10085,5354,4038,13123,2264,42814
66087,7441,6083,3759,6327,5754,4798,12511,1511,17899
73840,9638,7789,4069,6749,5130,3230,16586,3444,17201
59384,3258,3848,1430,5718,5196,3818,8441,566,27104
56005,6478,2852,2936,4587,5364,2378,12431,958,18018
51576,4664,3432,3872,3671,6031,3067,7869,994,15961
44353,4403,4629,2708,3343,4593,2399,7754,1150,13369
67003,7622,4354,5743,5870,11366,3635,12096,1773,14541
88211,7408,6494,4694,4216,8780,5079,14406,1534,35596
57733,8194,7590,2969,5665,7433,3477,11049,1897,9454
70318,7694,5483,2071,4693,4237,3803,8091,1018,33225
94474,8358,6074,4503,9828,4861,6837,9949,1330,42729
28664,5020,2948,2089,2522,1990,2303,4873,1129,5786
72172,8946,7052,2109,4589,7447,3632,7680,3415,27299
90616,10817,5678,7744,7196,8308,5399,13898,3666,27905
98264,15176,5827,6918,15499,9960,4747,14948,5342,19843
31736,1745,972,1168,1894,3382,1583,3868,1416,15704
99209,19457,5147,8635,16779,12494,10512,17762,2333,6087
5854,866,712,217,668,941,232,1029,227,958
95084,14163,6590,4690,11444,11103,5968,10944,3171,27007
43623,5668,4515,2458,4021,2793,3415,7180,1140,12427
12392,1633,1030,404,775,1479,910,1833,422,3903
60680,7098,4125,3652,4980,3045,2279,10031,1908,23559
51717,4325,3616,3316,4812,6254,2188,7872,2235,17095
92092,9119,3436,3917,11725,10078,4380,14752,5198,29481
55859,7201,6997,3342,6257,8285,4988,13434,1215,4138
31309,4561,2656,1415,2530,4856,1509,6118,789,6870
92455,9223,8348,8404,12090,11079,4784,21891,2354,14277
68734,12787,2442,3774,11001,8844,3645,12719,1874,11644
75467,7685,7018,3462,8980,8938,3224,11158,2401,22598
57662,10248,6425,2855,6568,8286,3193,10423,1600,8059
17688,2768,1389,855,1087,2094,1118,4133,1016,3224
30342,4532,2932,2677,2487,4264,3109,4952,631,4754
42157,4450,2395,1918,3461,2107,1149,5962,610,20101
72863,5606,2502,2839,6261,6257,3568,8714,2495,34617
57083,7149,2145,2983,6234,5022,3031,10276,1719,18521
70733,5094,4485,3002,5478,6646,1828,9339,1893,32964
94045,7870,2940,2366,10281,8897,5868,14836,3024,37958
39698,4243,2728,1307,5169,3347,1364,8085,927,12523
85623,12982,7684,5480,11685,7964,7682,22596,5017,4529
27671,2812,1430,1668,2904,1488,1622,3944,796,11002
30184,3169,1236,2247,1890,2988,1891,5338,371,11050
98384,9787,6271,3216,11893,8658,4715,19609,2074,32158
47107,5903,2080,1794,5025,4023,2219,5819,1764,18474
91202,12041,6906,4002,6873,6017,6976,20140,2632,25610
56663,5143,4283,3725,5994,4429,3222,6756,2319,20786
20708,1965,1665,1148,1264,1186,1112,1992,623,9749
96906,14943,4220,4162,13115,9165,7000,20465,2599,21233
54811,7533,4665,3122,5275,2788,1996,8445,777,20206
7811,900,416,554,1075,939,293,1187,380,2062
61250,4161,4715,2301,7030,3995,3848,11118,2428,21650
77082,7324,5138,3634,6288,3976,4903,13785,1714,30316
39754,6267,4274,3586,3252,7744,2055,7791,1980,2800
16411,2340,1328,440,1834,1080,564,2649,577,5595
7911,1001,600,505,902,1255,286,2043,112,1202
72270,10028,3376,2259,6921,8441,3559,9738,2540,25403
88763,10211,9221,5399,5999,9335,5401,16292,3756,23144
13680,1916,539,872,1519,1163,649,1402,172,5445
89896,7217,5470,7277,11741,11015,5794,25998,5895,9486
88879,12534,2344,2400,10660,7340,4156,16094,3853,29494
76295,14291,4073,2644,10287,8602,6322,14541,2156,13375
93614,14123,6175,5343,5713,5936,3295,10819,1593,40613
16111,774,988,625,1412,1168,529,2509,565,7536
42504,2291,1503,1830,4034,3794,1990,5366,508,21183
6802,707,185,203,673,389,418,1176,271,2776
13155,724,1115,880,1122,1445,579,1765,402,5119
78656,5835,8474,7044,12593,10237,7417,10688,4803,11560
44384,4607,6379,4438,4481,3469,1781,8017,2279,8930
52254,7009,6404,2783,5409,3577,2141,9885,1481,13562
26918,2681,2422,1487,2723,1960,1230,2962,735,10713
90981,4107,6525,2994,5187,7835,4703,15221,2396,42009
65713,6647,7056,6260,8791,7415,4317,12121,4225,8878
35306,2972,1029,921,3111,2975,1567,4987,1321,16419
21646,2314,1516,1336,2080,2114,558,3077,789,7858
51843,4214,1897,3054,4006,7181,3125,10108,1414,16841
95735,11124,11312,8388,12032,7111,4595,23920,3854,13396
21371,4150,1806,1830,2747,2756,1501,4526,449,1602
82371,13856,7146,4051,8489,5055,4740,12066,1775,25189
7049,1093,212,515,823,464,460,897,162,2419
36616,6816,3209,1931,3147,3671,2565,9334,636,5303
25932,2255,1199,1849,2681,2598,1404,5008,1144,7790
34855,3592,1403,1917,3241,3724,1558,3789,450,15176
66434,5105,3020,4151,5803,4215,4150,9591,2109,28286
77694,8056,1756,1942,6169,6248,4530,10562,2119,36307
48016,5047,3742,2413,4968,4330,3915,10593,2698,10306
12400,1565,870,878,1126,1425,797,2780,561,2394
47642,4493,3938,3121,4609,3400,2256,5600,1772,18448
20151,1442,1612,726,2402,2368,1161,4785,734,4916
56407,10596,4290,2052,6188,7601,5270,11805,3559,5042
71690,5027,9783,3713,9519,9966,3386,16232,1353,12707
9499,993,850,847,1413,682,336,1763,347,2264
11295,777,929,974,839,1408,921,2627,765,2051
64040,7351,5218,3524,10312,6908,2704,11222,4020,12775
17183,1531,2330,682,1557,1632,1908,4048,361,3130
34299,6780,2424,2529,4239,3146,3047,8196,1579,2355
17874,1895,1120,762,1903,2406,1140,2158,467,6018
37711,3923,3340,2546,2468,4718,1663,5430,1599,12021
10539,1004,360,559,1402,620,672,1828,466,3625
58351,9238,7365,4828,6994,8333,4001,8801,819,7967
66267,10546,4701,5551,4986,7518,3248,13984,3599,12129
53354,5620,3357,2535,5059,5897,3536,8875,926,17544
7557,966,633,323,771,914,255,900,376,2416
43360,5894,1884,2661,5123,3918,2626,7266,1937,12047
87018,14305,9628,4013,8719,6338,6819,17271,1848,18072
7200,661,554,392,394,476,408,795,199,3317
73497,8180,7104,3269,6237,11949,6006,13335,2501,14912
51975,5769,4831,3385,5323,6155,2624,9913,715,13255
26357,2892,720,850,2768,2222,2041,4208,1292,9360
82505,10513,7952,2401,10619,9401,5618,10223,1488,24286
7869,1204,436,390,934,915,570,1553,242,1621
66135,8935,3477,5235,8627,4016,4634,11560,3376,16271
55108,6180,1932,3403,5707,4215,2278,8336,596,22457
99179,8465,7323,5270,12331,9573,4064,29970,4807,17372
95272,8974,6923,5475,10343,17095,5894,17639,5551,10862
43467,4145,5079,2330,3535,5233,3123,9505,2214,8298
28328,2972,1960,888,1567,2609,950,4220,913,12245
96412,17269,4261,8216,11502,15675,7219,20068,3517,8681
91831,9516,2873,3797,4761,4078,4230,13804,3197,45572
8987,1191,889,634,720,555,465,1430,460,2637
63871,6217,2783,3164,3704,5458,1861,6877,2303,31499
27399,3216,840,1201,1121,2261,1358,3782,670,12947
51214,6757,3211,3382,3884,5583,3574,10085,1738,12996
91416,16317,8170,5052,8527,10169,9223,15857,5361,12736
75271,12744,4530,3617,8989,12430,3389,15547,4675,9348
49064,4627,5126,4054,4197,5393,3365,12583,1965,7751
75091,9144,5716,2941,8823,5502,5275,8793,1143,27750
45818,6982,2451,1897,4230,3835,4118,12465,1918,7918
50525,3810,5510,4120,6707,6732,2741,8347,2265,10288
24830,3738,1913,1606,2675,2579,1122,3939,999,6255
22429,2028,878,948,1694,2473,833,2428,805,10338
11893,2416,661,1001,1491,1694,606,1923,490,1608
84909,12580,5664,6705,12587,9017,5598,24403,2732,4437
52333,8054,4668,5969,4892,7730,4471,11314,1199,4031
8436,795,295,238,901,429,423,1251,244,3856
79290,5529,5004,5081,10652,8179,5499,10652,1623,27068
81213,10118,3949,6977,13247,8332,4413,14750,5385,14039
10895,1121,1057,689,1428,1399,684,2844,255,1413
24738,2180,2769,2071,2667,2991,1948,4517,1078,4512
35746,4216,3568,3845,4629,3751,3943,7615,542,3633
54377,3904,4046,3311,5285,3309,2259,5429,1072,25757
53404,6057,4681,1985,5483,3943,1958,6777,999,21516
59045,3607,4953,3608,5307,8429,3226,11986,2686,15238
44790,4135,1935,2612,4395,3060,2265,5609,1103,19673
10600,1691,787,636,997,1424,980,2223,140,1719
99660,9834,8979,5924,9006,5441,5197,15609,2523,37143
98179,12427,3021,4190,10600,6807,5696,9597,3106,42733
45764,6904,2825,1775,6880,5345,2756,7614,2026,9635
79543,9476,5186,2120,7758,8074,2049,12865,922,31090
50714,4418,4801,4603,4713,5683,4420,9814,2989,9269
61835,9947,6406,4331,5172,6903,3075,13043,1547,11407
78744,16055,5889,3638,6751,12932,3848,16394,5503,7730
61491,6874,2868,5417,8233,5866,5971,9528,1479,15251
23589,1682,2278,1205,2069,1339,999,4316,771,8925
48484,4130,1433,2967,4335,3547,1485,6422,1223,22937
87989,12885,3345,3257,8880,6436,4217,17204,3456,28306
41212,3259,2206,2498,3062,4349,1800,4906,1062,18067
48525,5094,3561,2246,3825,3844,1210,7940,415,20386
52202,4141,5609,4179,8004,5636,2877,13447,1623,6682
37635,5472,3994,1112,2187,4961,2449,6910,437,10109
68208,7117,3365,3852,10407,11106,6690,15141,3528,6999
38828,3116,2212,1596,3299,3377,1866,7660,1836,13860
23711,1988,841,1322,1930,2108,970,2765,463,11320
8420,674,1060,405,1435,648,672,2215,366,940
5301,315,370,362,438,700,171,849,76,2015
50236,5088,1806,1814,3792,4900,2815,6899,1698,16804
71235,7893,5938,2652,5125,7024,4501,14648,1182,22269
59240,10412,4005,3101,4930,5194,4570,12734,931,13361
70726,10682,5144,5134,8380,9826,3395,11985,1338,14838
15492,2263,2102,1473,1248,1265,578,4445,1024,1090
11102,888,732,1202,891,1383,419,3124,815,1643
55336,8660,3598,5926,8534,8078,4342,9272,3778,3144
90314,11594,4305,2798,8829,9254,5058,15632,4695,28145
31641,3782,2269,2997,3666,4752,2379,6934,1768,3089
39584,2267,1226,1764,3456,3871,2266,6592,607,17530
37745,3126,3103,2742,4222,4396,2853,5223,1305,10772
28093,4224,1347,978,1919,2244,2474,3349,1304,10250
71105,7420,8234,5765,7975,6780,5234,10333,2661,16701
56885,8681,2724,2182,7400,5204,3354,8013,2129,17194
41631,3195,1722,1625,3010,4745,1249,5036,1304,19741
77991,8781,6256,3498,14190,10679,5850,18136,3794,6803
9014,1113,983,370,1348,792,637,2030,256,1480
16093,1464,878,727,1717,1499,1153,1653,546,6453
23070,1868,3130,2387,3577,2971,1134,5383,439,2178
40777,3758,5108,3879,6322,4188,3938,9128,1025,3427
61958,4798,6636,2575,7642,7260,5250,11321,3293,13178
87074,8501,11325,4514,14551,8921,9042,18157,4093,7965
15729,1592,546,840,1586,1844,1197,2382,810,4927
50017,9232,5534,4359,3903,5187,2390,9353,2462,7593
71320,6706,6337,1965,4866,4913,1672,11029,1516,32312
32751,3481,3072,1609,2023,3734,1120,3224,1301,13184
83069,8887,3569,3054,8002,7713,6692,13424,1416,30309
59748,5347,4609,3149,5629,4938,1971,11605,2921,19574
10801,541,413,324,1261,1193,411,1536,384,4736
24190,3159,1410,915,3852,1885,1677,6165,1486,3637
54689,4498,3700,1579,4926,2657,2468,8541,2095,24221
55993,3601,5382,2067,6761,3897,2854,7356,1380,22692
34592,3600,1982,1105,3555,2687,2108,4916,1260,13375
15647,1730,1548,997,2028,1373,446,2221,566,4734
13716,1931,590,638,1288,2201,1136,2705,374,2205
93891,8434,3616,3785,10684,8080,6547,24524,5629,22589
92545,9784,6486,3201,8374,6472,3687,12556,4306,37675
94912,19028,8228,10419,9007,14031,7784,18278,2031,6102
75316,4991,5855,3601,7062,4230,3744,12543,3014,30271
7368,857,568,734,729,975,699,1231,406,1164
82575,13532,7600,5761,10427,12308,3891,18100,1461,9491
11655,1259,1241,685,1059,2364,1251,1995,607,1189
75031,13722,5348,3163,10508,6586,8414,17691,4924,4671
81429,10126,8531,4527,8682,7743,2855,12835,2869,23257
96083,7834,7984,7168,14030,10637,6115,22961,5109,14241
92922,3819,4044,4973,5372,7961,3601,13913,3216,46019
60766,6628,5249,4088,5579,6953,1877,8992,2650,18746
18403,2188,1333,1274,2895,3252,1382,3542,472,2062
37097,2224,3273,1751,4063,2963,1340,7100,1027,13352
83657,9829,2666,2579,5667,5685,5601,12522,1126,37978
15966,1497,711,696,1013,1540,872,2859,621,6152
98848,13699,13749,10176,7540,10821,10670,16968,6879,8342
57921,4211,5041,1832,6151,5940,1562,5949,987,26246
54726,6210,2979,4045,4346,3636,1728,8051,1440,22288
55300,6376,5798,3996,4776,7908,3751,12157,3831,6704
27677,5416,3531,1764,2355,4410,2535,4158,1476,2028
60609,9355,3179,2623,8357,5521,4102,8239,998,18230
61661,6198,2864,5654,9241,9809,5998,11839,2641,7412
36024,3416,2433,1788,3264,2264,1720,3961,1845,15330
75313,10519,4240,5172,11491,7022,3210,12547,3342,15909
58006,6027,2275,2227,3514,3419,3345,8416,2049,26729
20338,2856,1955,602,1573,1285,1206,3853,809,6194
73027,12245,2888,5760,8823,7484,3229,18809,4131,9654
97772,8382,12876,6067,10984,13764,5007,25069,4589,11030
85135,10412,5746,5442,10348,9689,4398,11376,1379,26341
24508,1457,1920,1754,2684,1707,1357,2900,1098,9627
8051,856,504,277,700,771,419,970,316,3233
53747,8051,3958,4034,4676,7813,3062,9504,3290,9356
92142,10424,4339,4888,8996,13475,7496,25097,4347,13075
92235,13266,5476,10271,11199,13718,10080,17945,4969,5307
59021,7629,4793,1516,5970,2944,3364,10439,1372,20990
71412,14191,4597,3602,8423,11622,6060,15319,1563,6031
63335,6421,2041,2806,6056,8733,4918,13784,3414,15158
61179,5162,6362,4111,6666,4855,3738,9659,999,19623
37093,2845,2645,759,3299,2788,1791,4888,577,17496
74678,6147,6453,4160,7514,6609,6873,17738,4790,14212
85738,8368,3865,6166,7856,14824,4732,20134,5485,13923
44734,3270,4154,1329,3375,2879,2114,10258,1945,15405
77615,5613,7152,5168,8610,7702,3400,11211,3248,25508
78523,10784,3662,5648,6883,10104,3164,19238,3375,15661
99476,13096,3085,6146,8234,6376,5232,9364,1421,46519
22019,2452,1843,564,2005,1189,1165,2261,1062,9472
88613,6746,11315,4635,8663,14567,6548,17284,5490,13362
96794,13305,10937,7987,7155,11698,6347,20571,3534,15256
91672,10668,4287,6289,8557,10007,5582,17219,3341,25717
78847,6114,5302,3526,6075,9123,2411,9836,2443,31389
87750,16984,8378,6551,7634,13971,3564,20290,4247,6126
84634,9220,3628,6340,8742,5343,5799,11075,3846,30637
33251,4760,1298,849,3200,3726,1212,6228,613,11362
30945,4687,2354,3101,2835,3462,1548,6794,1390,4770
95852,12114,6911,4111,10209,6106,4530,13792,3893,34181
37217,2043,2139,2446,2313,3355,1274,4363,1673,17606
13308,1684,1519,916,1773,2176,466,3420,405,945
10949,1123,1238,404,1684,825,691,2254,604,2122
56990,8703,6094,2943,7202,5340,1717,9348,1554,14086
6150,661,449,377,400,461,128,806,69,2796
94480,9267,3082,4305,6476,4822,4522,13512,2855,45635
79740,11208,4565,3666,10032,11332,3732,11984,3294,19923
71617,9675,4539,3902,3960,7119,3874,8572,2219,27752
99841,8340,3102,6539,11355,13486,4747,18988,4403,28878
21896,2189,2134,601,2593,1867,1644,3432,1038,6393
51175,9251,2198,2634,6048,5941,4770,8243,3124,8963
12805,1966,850,909,1455,1582,751,2632,766,1890
10237,1614,898,599,1359,1096,471,2073,286,1838
25056,2216,1953,1055,1685,3171,976,5185,1285,7525
50543,4473,5537,4756,5899,5227,4717,14916,1823,3190
61556,7717,3516,2693,3931,4559,2595,7743,589,28208
8343,1398,556,533,676,1545,482,1992,154,1003
18500,1950,1195,986,1930,3184,2117,3207,1169,2757
58222,8071,5805,3467,4972,3906,2776,11429,1302,16489
34375,5025,1590,2070,2302,4138,1852,3900,791,12703
14662,1354,932,1183,1926,1905,1373,3914,706,1364
21964,3595,1527,982,2282,2754,1819,3680,1082,4238
64638,8189,2025,3128,3025,4117,3251,7643,1848,31407
78666,14020,6145,6848,6883,8101,6767,12950,3728,13220
90067,13998,7411,4222,5093,10939,7187,19307,4715,17191
72215,6284,5041,2134,4615,4491,4309,11891,2651,30794
74042,9501,8695,7058,7704,6921,4710,21897,2178,5375
18284,1222,869,815,2448,1888,1080,4108,1114,4736
77789,6799,7177,4568,8856,6690,4488,13468,2653,17177
89664,11702,3514,3783,9844,13083,8421,17467,4588,17257
98468,13851,4056,5913,16080,9408,4788,19858,6928,17582
66389,7148,6055,4751,8985,7452,4463,17835,3647,6049
14435,1781,874,561,1824,2310,506,2970,839,2766
59340,5483,6197,5574,9192,7358,4448,13139,3827,4116
